asin,name,rating,Review_date,verified,title,helpfulVotes,brand,item_title,url,image,overall_rating,reviewUrl,totalReviews,price,originalPrice,id,year,month,day,Week_Number
B002WTC1NG,Greg Robles,1,04/07/2014,TRUE,One Star,1,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,234,2014,7,4,27
B002WTC1NG,Mark Butcher,1,31/01/2013,TRUE,please help. I can't program the phone.,1,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,235,2013,1,31,5
B002WTC1NG,Jessica,5,21/03/2014,FALSE,Very Durable Phone,2,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,236,2014,3,21,12
B002WTC1NG,sirlansa,3,08/09/2010,FALSE,Not very Rugged,4,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,237,2010,9,8,36
B002WTC1NG,Intheheat,1,12/06/2011,FALSE,Not user friendly or tough,13,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,238,2011,6,12,23
B002WTC1NG,Patty,1,20/01/2011,FALSE,Motorola Barrage Not Supported by Verizon or Motorola,5,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,239,2011,1,20,3
B002WTC1NG,Todd A. Lively,1,30/09/2010,FALSE,AVOID AT ALL COST,7,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,240,2010,9,30,39
B002WTC1NG,Glena,5,28/06/2011,FALSE,Made it through water,1,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,241,2011,6,28,26
B002WTC1NG,Marshall A. Childs,1,20/07/2013,FALSE,DO NOT BUY MOTOROLA EVER!,1,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,242,2013,7,20,29
B002WTC1NG,Uzicrowbar,1,23/06/2011,FALSE,MOTOROLA BARRAGE,1,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,243,2011,6,23,25
